Date,Data
2017-09-16 00:00:00,36.80932363427589
2017-09-17 00:00:00,43.57345901388625
2017-09-18 00:00:00,32.93742809788972
2017-09-19 00:00:00,29.601050357172326
2017-09-20 00:00:00,27.148504160976355
2017-09-21 00:00:00,33.489630221815496
2017-09-22 00:00:00,29.639284057981147
2017-09-23 00:00:00,40.28476731608439
2017-09-24 00:00:00,37.897924861331816
2017-09-25 00:00:00,29.749202244957907
2017-09-26 00:00:00,27.81041809672668
2017-09-27 00:00:00,32.27331169974026
2017-09-28 00:00:00,35.7345020345698
2017-09-29 00:00:00,36.71849534281647
2017-09-30 00:00:00,37.231384670516924
2017-10-01 00:00:00,37.34457210825421
2017-10-02 00:00:00,30.566308550099677
2017-10-03 00:00:00,37.13090282078224
2017-10-04 00:00:00,32.878150535956856
2017-10-05 00:00:00,27.357210167351127
2017-10-06 00:00:00,32.72649412894403
2017-10-07 00:00:00,39.427013365484335
2017-10-08 00:00:00,46.07969372875811
2017-10-09 00:00:00,34.784798106506216
2017-10-10 00:00:00,34.194659839593314
2017-10-11 00:00:00,31.074351149268303
2017-10-12 00:00:00,37.907425590190684
2017-10-13 00:00:00,35.58489027560897
2017-10-14 00:00:00,38.96442652997817
2017-10-15 00:00:00,51.80098697334852
2017-10-16 00:00:00,42.97888988724275
2017-10-17 00:00:00,37.85322452840667
2017-10-18 00:00:00,34.997367102679696
2017-10-19 00:00:00,38.77164965099941
2017-10-20 00:00:00,45.9255307158648
2017-10-21 00:00:00,40.10793145943285
2017-10-22 00:00:00,50.29251258538108
2017-10-23 00:00:00,43.186189260977116
2017-10-24 00:00:00,36.26930455012873
2017-10-25 00:00:00,44.11948986589009
2017-10-26 00:00:00,52.37777400455213
2017-10-27 00:00:00,34.31949646348348
2017-10-28 00:00:00,34.5246617621274
2017-10-29 00:00:00,40.61281976650234
2017-10-30 00:00:00,40.58820228452782
2017-10-31 00:00:00,45.046238415913145
2017-11-01 00:00:00,43.60100615306421
2017-11-02 00:00:00,44.55552986300174
2017-11-03 00:00:00,45.61546084716888
2017-11-04 00:00:00,48.00172237034506
2017-11-05 00:00:00,57.443343601970795
2017-11-06 00:00:00,49.06880973803054
2017-11-07 00:00:00,47.41933653840141
2017-11-08 00:00:00,51.83312988395339
2017-11-09 00:00:00,47.69137156356784
2017-11-10 00:00:00,45.002198294727144
2017-11-11 00:00:00,43.056420721405935
2017-11-12 00:00:00,48.677688504402994
2017-11-13 00:00:00,53.65118044903754
2017-11-14 00:00:00,54.03781489454196
2017-11-15 00:00:00,56.80510939319935
2017-11-16 00:00:00,60.49274921889347
2017-11-17 00:00:00,63.20248954966746
2017-11-18 00:00:00,57.4289840449942
2017-11-19 00:00:00,67.94944568098174
2017-11-20 00:00:00,61.79390914024587
2017-11-21 00:00:00,53.707165219201855
2017-11-22 00:00:00,56.141926824624846
2017-11-23 00:00:00,51.558542697741395
2017-11-24 00:00:00,56.566476332766264
2017-11-25 00:00:00,55.49025742973772
2017-11-26 00:00:00,59.243618088079266
2017-11-27 00:00:00,60.51264508155565
2017-11-28 00:00:00,59.697890929334164
2017-11-29 00:00:00,60.8856418439155
2017-11-30 00:00:00,62.25209540322458
2017-12-01 00:00:00,66.80868353236727
2017-12-02 00:00:00,74.72855934461401
2017-12-03 00:00:00,76.63657035423478
2017-12-04 00:00:00,71.9521984488575
2017-12-05 00:00:00,71.57584741585406
2017-12-06 00:00:00,79.58672415446439
2017-12-07 00:00:00,99.67692881258378
2017-12-08 00:00:00,107.72009347181233
2017-12-09 00:00:00,102.93280410190287
2017-12-10 00:00:00,109.23484955624686
2017-12-11 00:00:00,119.19715207952132
2017-12-12 00:00:00,115.24222807944638
2017-12-13 00:00:00,115.96596614254317
2017-12-14 00:00:00,100.52356501962423
2017-12-15 00:00:00,118.50987931208266
2017-12-16 00:00:00,143.01979146160008
2017-12-17 00:00:00,140.17535847543468
2017-12-18 00:00:00,137.66069106094255
2017-12-19 00:00:00,113.02163076912704
2017-12-20 00:00:00,113.03450863017545
2017-12-21 00:00:00,132.91981594553434
2017-12-22 00:00:00,137.02238445418257
2017-12-23 00:00:00,139.69841770299044
2017-12-24 00:00:00,138.7876796774994
2017-12-25 00:00:00,146.59514231207655
2017-12-26 00:00:00,161.68607068471704
2017-12-27 00:00:00,138.58297579024105
2017-12-28 00:00:00,124.84578683017504
2017-12-29 00:00:00,117.85361730094664
2017-12-30 00:00:00,100.38379399809662
2017-12-31 00:00:00,125.97063836248243
2018-01-01 00:00:00,138.22716398429964
2018-01-02 00:00:00,122.63562441133682
2018-01-03 00:00:00,103.10871876268556
2018-01-04 00:00:00,102.93385574412217
2018-01-05 00:00:00,124.7243621075741
2018-01-06 00:00:00,134.8711739387663
2018-01-07 00:00:00,122.61171089029624
2018-01-08 00:00:00,122.31054762095808
2018-01-09 00:00:00,114.45877723882117
2018-01-10 00:00:00,121.71578017623787
2018-01-11 00:00:00,122.35875539864205
2018-01-12 00:00:00,131.79087801121494
2018-01-13 00:00:00,130.46256497045516
2018-01-14 00:00:00,143.1483801201166
2018-01-15 00:00:00,122.14154345039185
2018-01-16 00:00:00,95.48833801342943
2018-01-17 00:00:00,97.25921641174426
2018-01-18 00:00:00,103.3530705940399
2018-01-19 00:00:00,119.74762834745184
2018-01-20 00:00:00,142.8722179541321
2018-01-21 00:00:00,143.0463336649841
2018-01-22 00:00:00,103.14828788498123
2018-01-23 00:00:00,103.11379917865774
2018-01-24 00:00:00,111.88855305990973
2018-01-25 00:00:00,104.08858805741565
2018-01-26 00:00:00,106.81422977570091
